chr	strand	coord	read_num	sample	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
PA732	chr10	+	94145337	SRR8798075.28302	GV1	3UTR	NA	94141790	94145339	13998	94036001	94145339	94141789	NA	NA	NA	NA	NA	NA	3548	NA	3548	1
PA743	chr10	+	94590920	SRR8798075.36524	GV1	3UTR	NA	94587031	94590956	319880	94311949	94430897	94430897	NA	NA	NA	NA	NA	NA	160023	NA	160023	1
PA735	chr10	+	94590950	SRR8798075.31390	GV1	3UTR	NA	94587031	94590956	319880	94311949	94430897	94430897	NA	NA	NA	NA	NA	NA	160053	NA	160053	1
PA736	chr10	+	94590954	SRR8798075.62738	GV1	3UTR	NA	94587031	94590956	319880	94311949	94430897	94430897	NA	NA	NA	NA	NA	NA	160057	NA	160057	1
PA742	chr10	+	94590956	SRR8798075.10865	GV1	3UTR	NA	94587031	94590956	319880	94311949	94430897	94430897	NA	NA	NA	NA	NA	NA	160059	NA	160059	1
PA745	chr10	+	94742691	SRR8798075.61905	GV1	intron	NA	94740189	94748940	77048	94688654	94790853	94789808	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA746	chr10	+	94782311	SRR8798075.51145	GV1	intron	NA	94771075	94786743	77048	94688654	94790853	94789808	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA747	chr10	+	94790336	SRR8798075.54940	GV1	3UTR	NA	94789809	94790853	77048	94688654	94790853	94789808	NA	NA	NA	NA	NA	NA	528	NA	528	1
PA748	chr10	+	96045504	SRR8798075.43428	GV1	3UTR	NA	96042205	96045518	216238	95940650	95975501	95975501	NA	NA	NA	NA	NA	NA	70003	NA	70003	1
PA750	chr10	+	96619624	SRR8798075.5911	GV1	3UTR	NA	96618644	96622809	12226	96617006	96622809	96618643	NA	NA	NA	NA	NA	NA	981	NA	981	1
PA751	chr10	+	96619627	SRR8798075.48892	GV1	3UTR	NA	96618644	96622809	12226	96617006	96622809	96618643	NA	NA	NA	NA	NA	NA	984	NA	984	1
PA33	chr10	+	9691907	SRR8798075.42154	GV1	3UTR	NA	NA	NA	620417	NA	NA	NA	620417	9684722	9691906	character(0)	9901313	9918843	1	1	1	1
PA753	chr10	+	99026143	SRR8798075.45864	GV1	3UTR	NA	99023120	99026143	67972	98914406	98987122	98987122	NA	NA	NA	NA	NA	NA	39021	NA	39021	1
PA755	chr10	+	99197893	SRR8798075.24133	GV1	3UTR	NA	99196731	99197988	382406	99107036	99197988	99196730	NA	NA	NA	NA	NA	NA	1163	NA	1163	1
PA758	chr10	+	99267485	SRR8798075.19938	GV1	3UTR	NA	99266300	99267488	67603	99263231	99267488	99266299	NA	NA	NA	NA	NA	NA	1186	NA	1186	1
PA760	chr10	+	99413594	SRR8798075.167	GV1	intron	NA	99402881	99420491	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5132	chr11	-	100361601	SRR8798075.23373	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	100361716	100362126	15114	100347327	100356128	97287279	115	97287279	1
PA5142	chr11	-	100457122	SRR8798075.19389	GV1	intergenic	NA	100462614	100442475	217194	100462614	100472741	100462864	217194	100462614	100472741	character(0)	100442395	100442475	5742	5492	NA	1
PA5145	chr11	-	100582818	SRR8798075.35783	GV1	3UTR	NA	100582818	100583098	56354	100582818	100584786	100582818	NA	NA	NA	NA	NA	NA	0	NA	0	1
PA5148	chr11	-	100704753	SRR8798075.55031	GV1	3UTR	NA	100704746	100705237	14534	100704746	100712173	100704746	NA	NA	NA	NA	NA	NA	7	NA	7	1
PA5149	chr11	-	100715009	SRR8798075.53354	GV1	3UTR	NA	100715009	100716046	19345	100715009	100738215	100716047	NA	NA	NA	NA	NA	NA	1038	NA	1038	1
PA5151	chr11	-	100715266	SRR8798075.46091	GV1	3UTR	NA	100715009	100716046	19345	100715009	100738215	100716047	NA	NA	NA	NA	NA	NA	781	NA	781	1
PA5152	chr11	-	100715270	SRR8798075.1827	GV1	3UTR	NA	100715009	100716046	19345	100715009	100738215	100716047	NA	NA	NA	NA	NA	NA	777	NA	777	1
PA5154	chr11	-	100886810	SRR8798075.55793	GV1	3UTR	NA	100885098	100888760	20848	100885098	100939404	100889516	NA	NA	NA	NA	NA	NA	2706	NA	2706	1
PA5155	chr11	-	100886812	SRR8798075.47936	GV1	3UTR	NA	100885098	100888760	20848	100885098	100939404	100889516	NA	NA	NA	NA	NA	NA	2704	NA	2704	1
PA5156	chr11	-	100886815	SRR8798075.2860	GV1	3UTR	NA	100885098	100888760	20848	100885098	100939404	100889516	NA	NA	NA	NA	NA	NA	2701	NA	2701	1
PA5158	chr11	-	100956733	SRR8798075.33867	GV1	3UTR	NA	100956733	100958623	19285	100956733	100970887	100958624	NA	NA	NA	NA	NA	NA	1891	NA	1891	1
PA5162	chr11	-	101096517	SRR8798075.25146	GV1	3UTR	NA	101096322	101098162	67998	101096322	101119843	101098163	NA	NA	NA	NA	NA	NA	1646	NA	1646	1
PA5164	chr11	-	101162679	SRR8798075.20457	GV1	3UTR	NA	101162679	101163064	217198	101162679	101165620	101163568	NA	NA	NA	NA	NA	NA	889	NA	889	1
PA5168	chr11	-	101191115	SRR8798075.50381	GV1	3UTR	NA	101191115	101192938	14055	101191115	101226463	101192939	NA	NA	NA	NA	NA	NA	1824	NA	1824	1
PA5171	chr11	-	101418813	SRR8798075.52264	GV1	3UTR	NA	101418812	101419168	73635	101418812	101424669	101419169	NA	NA	NA	NA	NA	NA	356	NA	356	1
PA5172	chr11	-	101458745	SRR8798075.31494	GV1	3UTR	NA	101458745	101460192	26949	101458745	101466230	101460193	NA	NA	NA	NA	NA	NA	1448	NA	1448	1
PA5176	chr11	-	102163472	SRR8798075.56866	GV1	3UTR	NA	102162497	102164074	268490	102162497	102185229	102164075	NA	NA	NA	NA	NA	NA	603	NA	603	1
PA5177	chr11	-	102289300	SRR8798075.63328	GV1	3UTR	NA	102289300	102291654	217218	102289300	102293444	102289300	NA	NA	NA	NA	NA	NA	0	NA	0	1
PA5178	chr11	-	102305991	SRR8798075.10166	GV1	3UTR	NA	102304560	102306640	21429	102304560	102319096	102306641	NA	NA	NA	NA	NA	NA	650	NA	650	1
PA5182	chr11	-	102838479	SRR8798075.54018	GV1	3UTR	NA	102838473	102838800	20624	102838473	102880967	102838801	NA	NA	NA	NA	NA	NA	322	NA	322	1
PA5183	chr11	-	102838480	SRR8798075.15802	GV1	3UTR	NA	102838473	102838800	20624	102838473	102880967	102838801	NA	NA	NA	NA	NA	NA	321	NA	321	1
PA5184	chr11	-	102908113	SRR8798075.7267	GV1	CDS	NA	102908113	102908638	70218	102905529	102925124	102906200	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5194	chr11	-	102994051	SRR8798075.6910	GV1	3UTR	NA	102994047	102994880	68087	102994047	103017168	102994881	NA	NA	NA	NA	NA	NA	830	NA	830	1
PA5202	chr11	-	102994052	SRR8798075.25654	GV1	3UTR	NA	102994047	102994880	68087	102994047	103017168	102994881	NA	NA	NA	NA	NA	NA	829	NA	829	1
PA5203	chr11	-	103365089	SRR8798075.33675	GV1	3UTR	NA	103364275	103366881	353047	103364275	103412687	103366882	NA	NA	NA	NA	NA	NA	1793	NA	1793	1
PA5204	chr11	-	103365092	SRR8798075.53285	GV1	3UTR	NA	103364275	103366881	353047	103364275	103412687	103366882	NA	NA	NA	NA	NA	NA	1790	NA	1790	1
PA5210	chr11	-	103908458	SRR8798075.8444	GV1	intron	NA	103882942	103910442	18195	103821782	103954056	103823238	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5212	chr11	-	104333500	SRR8798075.13194	GV1	3UTR	NA	104333229	104334977	76719	104333229	104442291	104334978	NA	NA	NA	NA	NA	NA	1478	NA	1478	1
PA5229	chr11	-	105434615	SRR8798075.9667	GV1	intron	NA	105408815	105438818	632687	105360798	105455294	105361144	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5230	chr11	-	106158040	SRR8798075.51596	GV1	3UTR	NA	106156256	106158673	67803	106156256	106160142	106158674	NA	NA	NA	NA	NA	NA	634	NA	634	1
PA5232	chr11	-	106163321	SRR8798075.57596	GV1	3UTR	NA	NA	NA	72149	NA	NA	NA	72149	106163330	106202168	67803	106158651	106160860	9	9	9	1
PA5233	chr11	-	106163330	SRR8798075.61400	GV1	exon	NA	106163330	106164191	72149	106163330	106202168	106163330	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5234	chr11	-	106199350	SRR8798075.20940	GV1	3UTR	NA	106197408	106200935	67163	106197408	106216344	106200936	NA	NA	NA	NA	NA	NA	1586	NA	1586	1
PA5235	chr11	-	106199354	SRR8798075.4235	GV1	3UTR	NA	106197408	106200935	67163	106197408	106216344	106200936	NA	NA	NA	NA	NA	NA	1582	NA	1582	1
PA5240	chr11	-	106199356	SRR8798075.58367	GV1	3UTR	NA	106197408	106200935	67163	106197408	106216344	106200936	NA	NA	NA	NA	NA	NA	1580	NA	1580	1
PA5243	chr11	-	106199418	SRR8798075.57056	GV1	3UTR	NA	106197408	106200935	67163	106197408	106216344	106200936	NA	NA	NA	NA	NA	NA	1518	NA	1518	1
PA5247	chr11	-	106263178	SRR8798075.2032	GV1	3UTR	NA	NA	NA	83796	NA	NA	NA	83796	106263179	106272972	56095	106249142	106256079	888	1	888	1
PA5248	chr11	-	106263181	SRR8798075.8567	GV1	3UTR	NA	106263179	106264065	83796	106263179	106267799	106264066	NA	NA	NA	NA	NA	NA	885	NA	885	1
PA5250	chr11	-	106263186	SRR8798075.13190	GV1	3UTR	NA	106263179	106264065	83796	106263179	106267799	106264066	NA	NA	NA	NA	NA	NA	880	NA	880	1
PA5255	chr11	-	106263188	SRR8798075.5750	GV1	3UTR	NA	106263179	106264065	83796	106263179	106267799	106264066	NA	NA	NA	NA	NA	NA	878	NA	878	1
PA5256	chr11	-	106263192	SRR8798075.19477	GV1	3UTR	NA	106263179	106264065	83796	106263179	106267799	106264066	NA	NA	NA	NA	NA	NA	874	NA	874	1
PA5258	chr11	-	106263895	SRR8798075.21083	GV1	3UTR	NA	106263179	106264065	83796	106263179	106267799	106264066	NA	NA	NA	NA	NA	NA	171	NA	171	1
PA5264	chr11	-	106394648	SRR8798075.1776	GV1	3UTR	NA	NA	NA	78943	NA	NA	NA	78943	106394650	106487796	15896	106380688	106388075	3894	2	3894	1
PA5267	chr11	-	106394650	SRR8798075.1701	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	3892	NA	3892	1
PA5273	chr11	-	106394651	SRR8798075.16314	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	3891	NA	3891	1
PA5276	chr11	-	106394652	SRR8798075.7599	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	3890	NA	3890	1
PA5277	chr11	-	106394653	SRR8798075.24529	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	3889	NA	3889	1
PA5278	chr11	-	106396212	SRR8798075.8318	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	2330	NA	2330	1
PA5279	chr11	-	106397302	SRR8798075.6024	GV1	3UTR	NA	106394650	106398541	78943	106394650	106487796	106398542	NA	NA	NA	NA	NA	NA	1240	NA	1240	1
PA5283	chr11	-	106654217	SRR8798075.43639	GV1	3UTR	NA	106654217	106655142	18613	106654217	106715265	106655143	NA	NA	NA	NA	NA	NA	926	NA	926	1
PA5284	chr11	-	106654219	SRR8798075.34227	GV1	3UTR	NA	106654217	106655142	18613	106654217	106715265	106655143	NA	NA	NA	NA	NA	NA	924	NA	924	1
PA5285	chr11	-	106780355	SRR8798075.14013	GV1	3UTR	NA	106780355	106781849	13207	106780355	106788532	106781850	NA	NA	NA	NA	NA	NA	1495	NA	1495	1
PA5286	chr11	-	106780357	SRR8798075.30375	GV1	3UTR	NA	106780355	106781849	13207	106780355	106788532	106781850	NA	NA	NA	NA	NA	NA	1493	NA	1493	1
PA5287	chr11	-	106780359	SRR8798075.23076	GV1	3UTR	NA	106780355	106781849	13207	106780355	106788532	106781850	NA	NA	NA	NA	NA	NA	1491	NA	1491	1
PA5288	chr11	-	106780362	SRR8798075.24670	GV1	3UTR	NA	106780355	106781849	13207	106780355	106788532	106781850	NA	NA	NA	NA	NA	NA	1488	NA	1488	1
PA5291	chr11	-	106820080	SRR8798075.1420	GV1	3UTR	NA	106820066	106822664	66313	106820066	106920715	106822665	NA	NA	NA	NA	NA	NA	2585	NA	2585	1
PA5292	chr11	-	106820082	SRR8798075.12216	GV1	3UTR	NA	106820066	106822664	66313	106820066	106920715	106822665	NA	NA	NA	NA	NA	NA	2583	NA	2583	1
PA5297	chr11	-	106820084	SRR8798075.62425	GV1	3UTR	NA	106820066	106822664	66313	106820066	106920715	106822665	NA	NA	NA	NA	NA	NA	2581	NA	2581	1
PA5299	chr11	-	106822189	SRR8798075.37185	GV1	3UTR	NA	106820066	106822664	66313	106820066	106920715	106822665	NA	NA	NA	NA	NA	NA	476	NA	476	1
PA5301	chr11	-	107033081	SRR8798075.4383	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	2722	NA	2722	1
PA5302	chr11	-	107033810	SRR8798075.29648	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	1993	NA	1993	1
PA5303	chr11	-	107034931	SRR8798075.43485	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	872	NA	872	1
PA5304	chr11	-	107034937	SRR8798075.3289	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	866	NA	866	1
PA5307	chr11	-	107034939	SRR8798075.12009	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	864	NA	864	1
PA5310	chr11	-	107034946	SRR8798075.28546	GV1	3UTR	NA	107033081	107035802	207165	107033081	107131922	107035803	NA	NA	NA	NA	NA	NA	857	NA	857	1
PA5317	chr11	-	113691056	SRR8798075.57261	GV1	intergenic	NA	113698172	113684155	52670	113698172	113710017	113698667	52670	113698172	113710017	28081	113661319	113684155	7611	7116	NA	1
PA5318	chr11	-	113698171	SRR8798075.21	GV1	3UTR	NA	NA	NA	52670	NA	NA	NA	52670	113698172	113710017	28081	113661319	113684155	496	1	496	1
PA5363	chr11	-	113698172	SRR8798075.28974	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	495	NA	495	1
PA5364	chr11	-	113698173	SRR8798075.9922	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	494	NA	494	1
PA5366	chr11	-	113698174	SRR8798075.20510	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	493	NA	493	1
PA5367	chr11	-	113698175	SRR8798075.15586	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	492	NA	492	1
PA5368	chr11	-	113698176	SRR8798075.7451	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	491	NA	491	1
PA5369	chr11	-	113698178	SRR8798075.20317	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	489	NA	489	1
PA5373	chr11	-	113698179	SRR8798075.20901	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	488	NA	488	1
PA5376	chr11	-	113698181	SRR8798075.337	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	486	NA	486	1
PA5377	chr11	-	113698185	SRR8798075.36429	GV1	3UTR	NA	113698172	113698666	52670	113698172	113708967	113698667	NA	NA	NA	NA	NA	NA	482	NA	482	1
PA5379	chr11	-	114488341	SRR8798075.32102	GV1	intergenic	NA	114791217	114448860	72014	114791217	114795910	114791217	72014	114791217	114795910	319819	114413401	114448860	302876	302876	NA	1
PA5380	chr11	-	114646821	SRR8798075.37213	GV1	intergenic	NA	114791217	114448860	72014	114791217	114795910	114791217	72014	114791217	114795910	319819	114413401	114448860	144396	144396	NA	1
PA5381	chr11	-	114791217	SRR8798075.39791	GV1	3UTR	NA	114791217	114791447	72014	114791217	114795873	114791217	NA	NA	NA	NA	NA	NA	0	NA	0	1
PA5382	chr11	-	115116214	SRR8798075.54787	GV1	3UTR	NA	115116214	115116973	246746	115116214	115133992	115116974	NA	NA	NA	NA	NA	NA	760	NA	760	1
PA5383	chr11	-	115216382	SRR8798075.33949	GV1	intergenic	NA	115249169	115187859	14813	115249169	115267243	115249571	14813	115249169	115267243	66176	115184795	115187859	33189	32787	NA	1
PA5384	chr11	-	115347708	SRR8798075.13278	GV1	3UTR	NA	115347707	115348468	217310	115347707	115367719	115348469	NA	NA	NA	NA	NA	NA	761	NA	761	1
PA5385	chr11	-	115347715	SRR8798075.19031	GV1	3UTR	NA	115347707	115348468	217310	115347707	115367719	115348469	NA	NA	NA	NA	NA	NA	754	NA	754	1
PA5386	chr11	-	115497349	SRR8798075.58171	GV1	3UTR	NA	NA	NA	15374	NA	NA	NA	15374	115497353	115514387	50773	115490420	115491862	802	4	802	1
PA5387	chr11	-	115497353	SRR8798075.15353	GV1	3UTR	NA	115497353	115498150	15374	115497353	115514387	115498151	NA	NA	NA	NA	NA	NA	798	NA	798	1
PA5391	chr11	-	115497356	SRR8798075.40354	GV1	3UTR	NA	115497353	115498150	15374	115497353	115514387	115498151	NA	NA	NA	NA	NA	NA	795	NA	795	1
PA5392	chr11	-	115497402	SRR8798075.7665	GV1	3UTR	NA	115497353	115498150	15374	115497353	115514387	115498151	NA	NA	NA	NA	NA	NA	749	NA	749	1
PA5393	chr11	-	115498026	SRR8798075.41121	GV1	3UTR	NA	115497353	115498150	15374	115497353	115514387	115498151	NA	NA	NA	NA	NA	NA	125	NA	125	1
PA5394	chr11	-	115498031	SRR8798075.29036	GV1	3UTR	NA	115497353	115498150	15374	115497353	115514387	115498151	NA	NA	NA	NA	NA	NA	120	NA	120	1
PA5395	chr11	-	115584350	SRR8798075.49942	GV1	3UTR	NA	115584255	115585729	260302	115584255	115604051	115585730	NA	NA	NA	NA	NA	NA	1380	NA	1380	1
PA5396	chr11	-	115584707	SRR8798075.17829	GV1	3UTR	NA	115584255	115585729	260302	115584255	115604051	115585730	NA	NA	NA	NA	NA	NA	1023	NA	1023	1
PA5397	chr11	-	115584916	SRR8798075.4342	GV1	3UTR	NA	115584255	115585729	260302	115584255	115604051	115585730	NA	NA	NA	NA	NA	NA	814	NA	814	1
PA5398	chr11	-	115584918	SRR8798075.43008	GV1	3UTR	NA	115584255	115585729	260302	115584255	115604051	115585730	NA	NA	NA	NA	NA	NA	812	NA	812	1
PA5399	chr11	-	115584919	SRR8798075.20177	GV1	3UTR	NA	115584255	115585729	260302	115584255	115604051	115585730	NA	NA	NA	NA	NA	NA	811	NA	811	1
PA5401	chr11	-	115607922	SRR8798075.26841	GV1	3UTR	NA	115607918	115608385	69674	115607918	115612503	115608386	NA	NA	NA	NA	NA	NA	464	NA	464	1
PA5405	chr11	-	115799183	SRR8798075.25633	GV1	3UTR	NA	115799183	115799986	140721	115799183	115813630	115799987	NA	NA	NA	NA	NA	NA	804	NA	804	1
PA5407	chr11	-	115799186	SRR8798075.8419	GV1	3UTR	NA	115799183	115799986	140721	115799183	115813630	115799987	NA	NA	NA	NA	NA	NA	801	NA	801	1
PA5409	chr11	-	115799188	SRR8798075.8379	GV1	3UTR	NA	115799183	115799986	140721	115799183	115813630	115799987	NA	NA	NA	NA	NA	NA	799	NA	799	1
PA5413	chr11	-	115892595	SRR8798075.10937	GV1	3UTR	NA	115892595	115893057	170472	115892595	115895136	115892595	NA	NA	NA	NA	NA	NA	0	NA	0	1
PA5416	chr11	-	115892610	SRR8798075.1801	GV1	3UTR	NA	115892595	115893057	170472	115892595	115895136	115892595	NA	NA	NA	NA	NA	NA	15	NA	15	1
PA5421	chr11	-	116022291	SRR8798075.5474	GV1	3UTR	NA	116021912	116023406	15081	116021912	116027962	116023407	NA	NA	NA	NA	NA	NA	1116	NA	1116	1
PA5443	chr11	-	116022334	SRR8798075.3505	GV1	3UTR	NA	116021912	116023406	15081	116021912	116027962	116023407	NA	NA	NA	NA	NA	NA	1073	NA	1073	1
PA5444	chr11	-	116022380	SRR8798075.45210	GV1	3UTR	NA	116021912	116023406	15081	116021912	116027962	116023407	NA	NA	NA	NA	NA	NA	1027	NA	1027	1
PA5445	chr11	-	116022853	SRR8798075.15147	GV1	3UTR	NA	116021912	116023406	15081	116021912	116027962	116023407	NA	NA	NA	NA	NA	NA	554	NA	554	1
PA5449	chr11	-	116022856	SRR8798075.11545	GV1	3UTR	NA	116021912	116023406	15081	116021912	116027962	116023407	NA	NA	NA	NA	NA	NA	551	NA	551	1
PA5455	chr11	-	116078573	SRR8798075.31389	GV1	3UTR	NA	116078573	116079542	22378	116078573	116086995	116079543	NA	NA	NA	NA	NA	NA	970	NA	970	1
PA5456	chr11	-	116131821	SRR8798075.23117	GV1	3UTR	NA	116131817	116131993	60441	116131817	116138868	116131994	NA	NA	NA	NA	NA	NA	173	NA	173	1
PA5457	chr11	-	116245164	SRR8798075.9692	GV1	3UTR	NA	NA	NA	217337	NA	NA	NA	217337	116245166	116274217	14027	116220559	116238077	539	2	539	1
PA5458	chr11	-	116245166	SRR8798075.20343	GV1	3UTR	NA	116245166	116245702	217337	116245166	116274135	116245703	NA	NA	NA	NA	NA	NA	537	NA	537	1
PA5461	chr11	-	116301104	SRR8798075.30175	GV1	CDS	NA	116301104	116301326	53413	116288001	116306734	116289183	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5462	chr11	-	116470849	SRR8798075.37912	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	4	NA	4	1
PA5463	chr11	-	116470853	SRR8798075.15414	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	8	NA	8	1
PA5465	chr11	-	116470856	SRR8798075.41004	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	11	NA	11	1
PA5467	chr11	-	116470857	SRR8798075.8483	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	12	NA	12	1
PA5471	chr11	-	116470860	SRR8798075.62559	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	15	NA	15	1
PA5472	chr11	-	116470916	SRR8798075.56583	GV1	3UTR	NA	116470845	116471396	67763	116470845	116490314	116470845	NA	NA	NA	NA	NA	NA	71	NA	71	1
PA5473	chr11	-	116537748	SRR8798075.22674	GV1	3UTR	NA	116537740	116539043	217342	116537740	116544017	116537740	NA	NA	NA	NA	NA	NA	8	NA	8	1
PA5476	chr11	-	116598165	SRR8798075.28361	GV1	3UTR	NA	116598165	116599018	217344	116598165	116624200	116599019	NA	NA	NA	NA	NA	NA	854	NA	854	1
PA5482	chr11	-	116837432	SRR8798075.32177	GV1	3UTR	NA	116837432	116837631	107817	116837432	116843281	116837432	NA	NA	NA	NA	NA	NA	0	NA	0	1
PA5483	chr11	-	116842330	SRR8798075.25450	GV1	intron	NA	116841356	116842331	107817	116837432	116843281	116837432	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5487	chr11	-	116843068	SRR8798075.18450	GV1	CDS	NA	116843065	116843193	107817	116837432	116843281	116837432	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5488	chr11	-	116849904	SRR8798075.9814	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	2124	NA	2124	1
PA5492	chr11	-	116849911	SRR8798075.24007	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	2117	NA	2117	1
PA5493	chr11	-	116849914	SRR8798075.31889	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	2114	NA	2114	1
PA5495	chr11	-	116849916	SRR8798075.29842	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	2112	NA	2112	1
PA5496	chr11	-	116849935	SRR8798075.35469	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	2093	NA	2093	1
PA5497	chr11	-	116850517	SRR8798075.6065	GV1	3UTR	NA	116849901	116850961	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	1511	NA	1511	1
PA5498	chr11	-	116852568	SRR8798075.8273	GV1	CDS	NA	116852568	116852929	20382	116849901	116853094	116852028	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA5499	chr11	-	116872999	SRR8798075.56976	GV1	intergenic	NA	117035078	116853094	character(0)	117035078	117040193	3074322	character(0)	117035078	117040193	20382	116849901	116853094	113798677	162079	NA	1
PA4016	chr11	-	11778326	SRR8798075.41547	GV1	intergenic	NA	11787431	11696439	60530	11787431	11808925	11787431	60530	11787431	11808925	character(0)	11695133	11696439	9105	9105	NA	1
PA4017	chr11	-	11800370	SRR8798075.59388	GV1	3UTR	NA	11800288	11801001	60530	11787431	11808925	11787431	NA	NA	NA	NA	NA	NA	12939	NA	12939	1
PA4018	chr11	-	11800374	SRR8798075.29284	GV1	3UTR	NA	11800288	11801001	60530	11787431	11808925	11787431	NA	NA	NA	NA	NA	NA	12943	NA	12943	1
PA4019	chr11	-	11800379	SRR8798075.54120	GV1	3UTR	NA	11800288	11801001	60530	11787431	11808925	11787431	NA	NA	NA	NA	NA	NA	12948	NA	12948	1
PA5503	chr11	-	118260854	SRR8798075.359	GV1	3UTR	NA	118259651	118261547	72344	118259651	118290231	118261999	NA	NA	NA	NA	NA	NA	1145	NA	1145	1
PA5504	chr11	-	118406289	SRR8798075.54344	GV1	3UTR	NA	118406289	118407723	76025	118406289	118419052	118407724	NA	NA	NA	NA	NA	NA	1435	NA	1435	1
PA5505	chr11	-	118406293	SRR8798075.13385	GV1	3UTR	NA	118406289	118407723	76025	118406289	118419052	118407724	NA	NA	NA	NA	NA	NA	1431	NA	1431	1
PA5506	chr11	-	118406296	SRR8798075.51583	GV1	3UTR	NA	118406289	118407723	76025	118406289	118419052	118407724	NA	NA	NA	NA	NA	NA	1428	NA	1428	1
PA4021	chr11	-	11930510	SRR8798075.48779	GV1	3UTR	NA	11930508	11933462	14783	11930508	12027971	11933463	NA	NA	NA	NA	NA	NA	2953	NA	2953	1
PA5508	chr11	-	119319694	SRR8798075.32920	GV1	intergenic	NA	119343425	119300089	27029	119343425	119355502	119350472	27029	119343425	119355502	192170	119288363	119300089	30778	23731	NA	1
PA5510	chr11	-	119319697	SRR8798075.3732	GV1	intergenic	NA	119343425	119300089	27029	119343425	119355502	119350472	27029	119343425	119355502	192170	119288363	119300089	30775	23728	NA	1
PA5512	chr11	-	120090525	SRR8798075.51664	GV1	3UTR	NA	NA	NA	78777	NA	NA	NA	78777	120090531	120098731	12009	120064430	120086827	996	6	996	1
