read_num chr strand coord
SRR8798075.16445 chr12 + 69297147
SRR8798075.30705 chr12 + 69297147
SRR8798075.53947 chr12 + 69297147
SRR8798075.54054 chr12 + 69297147
SRR8798075.49166 chr12 + 69297147
SRR8798075.34833 chr12 + 69297147
SRR8798075.54213 chr12 + 69297147
SRR8798075.49997 chr12 + 69297145
SRR8798075.1079 chr12 + 69310465
SRR8798075.3336 chr12 + 69310491
SRR8798075.4297 chr12 + 69310465
SRR8798075.9085 chr12 + 69310465
SRR8798075.16204 chr12 + 69310495
SRR8798075.16326 chr12 + 69310459
SRR8798075.16594 chr12 + 69310463
SRR8798075.18381 chr12 + 69310490
SRR8798075.19266 chr12 + 69311789
SRR8798075.28321 chr12 + 69310465
SRR8798075.29313 chr12 + 69311786
SRR8798075.39388 chr12 + 69310465
SRR8798075.39686 chr12 + 69310465
SRR8798075.40965 chr12 + 69310520
SRR8798075.43436 chr12 + 69310463
SRR8798075.50071 chr12 + 69310468
SRR8798075.53455 chr12 + 69310468
SRR8798075.54911 chr12 + 69310498
SRR8798075.55414 chr12 + 69310495
SRR8798075.18815 chr12 + 69311780
SRR8798075.17538 chr12 + 69311783
SRR8798075.39577 chr12 + 69311756
SRR8798075.54122 chr12 + 69373788
SRR8798075.54695 chr12 + 69373783
SRR8798075.44871 chr12 + 69373788
SRR8798075.21088 chr12 + 69373783
SRR8798075.8580 chr12 + 69373783
SRR8798075.19617 chr12 + 69964024
SRR8798075.27984 chr12 + 69964024
SRR8798075.46398 chr12 + 69964029
SRR8798075.52611 chr12 + 69964028
SRR8798075.62736 chr12 + 69964029
SRR8798075.60027 chr12 + 69964022
SRR8798075.43906 chr12 + 69963653
SRR8798075.34894 chr12 + 69964024
SRR8798075.15906 chr12 + 70116428
SRR8798075.13171 chr12 + 71098589
SRR8798075.14152 chr12 + 71098586
SRR8798075.38061 chr12 + 71098586
SRR8798075.27669 chr12 + 71138039
SRR8798075.8878 chr12 + 71216795
SRR8798075.30550 chr12 + 71216783
SRR8798075.2722 chr12 + 71243299
SRR8798075.3934 chr12 + 71243299
SRR8798075.29244 chr12 + 71243299
SRR8798075.47714 chr12 + 71243299
SRR8798075.48142 chr12 + 71243299
SRR8798075.51628 chr12 + 71243299
SRR8798075.2861 chr12 + 71243299
SRR8798075.17872 chr12 + 71243299
SRR8798075.56753 chr12 + 71992331
SRR8798075.6800 chr12 + 71992333
SRR8798075.26802 chr12 + 71992325
SRR8798075.6245 chr12 + 71992335
SRR8798075.668 chr12 + 71992327
SRR8798075.41248 chr12 + 71992328
SRR8798075.31448 chr12 + 72101461
SRR8798075.51868 chr12 + 72101461
SRR8798075.26326 chr12 + 72101458
SRR8798075.34703 chr12 + 72542228
SRR8798075.63484 chr12 + 72580119
SRR8798075.45934 chr12 + 72580119
SRR8798075.39350 chr12 + 72794562
SRR8798075.60454 chr12 + 72794556
SRR8798075.13837 chr12 + 73272852
SRR8798075.29755 chr12 + 73272852
SRR8798075.63275 chr12 + 73272852
SRR8798075.34991 chr12 + 73272852
SRR8798075.33203 chr12 + 73808388
SRR8798075.39851 chr12 + 73947528
SRR8798075.47212 chr12 + 73947144
SRR8798075.34441 chr12 + 73947530
SRR8798075.41296 chr12 + 73946892
SRR8798075.29373 chr12 + 73946887
SRR8798075.9147 chr12 + 73946910
SRR8798075.16760 chr12 + 73946891
SRR8798075.59905 chr12 + 73946871
SRR8798075.35182 chr12 + 73947523
SRR8798075.26624 chr12 + 73947536
SRR8798075.19947 chr12 + 73947144
SRR8798075.39217 chr12 + 73947536
SRR8798075.7593 chr12 + 73984386
SRR8798075.28294 chr12 + 73984385
SRR8798075.41592 chr12 + 75945590
SRR8798075.20970 chr12 + 76110926
SRR8798075.23452 chr12 + 76110926
SRR8798075.36222 chr12 + 76110926
SRR8798075.15811 chr12 + 76110926
SRR8798075.2830 chr12 + 76110926
SRR8798075.30968 chr12 + 76110926
SRR8798075.11347 chr12 + 76319817
SRR8798075.18258 chr12 + 76319803
SRR8798075.25485 chr12 + 76319803
SRR8798075.56664 chr12 + 76319803
SRR8798075.57613 chr12 + 76319803
SRR8798075.63037 chr12 + 76319798
SRR8798075.55233 chr12 + 76387678
SRR8798075.1823 chr12 + 76406938
SRR8798075.21613 chr12 + 76579042
SRR8798075.29630 chr12 + 76579042
SRR8798075.17879 chr12 + 76579042
SRR8798075.29541 chr12 + 76579042
SRR8798075.41796 chr12 + 76579042
SRR8798075.36690 chr12 + 76579042
SRR8798075.7005 chr12 + 76579039
SRR8798075.8630 chr12 + 76579042
SRR8798075.2538 chr12 + 76579042
SRR8798075.15590 chr12 + 76579042
SRR8798075.32826 chr12 + 76579042
SRR8798075.5574 chr12 + 76579042
SRR8798075.49899 chr12 + 76579037
SRR8798075.25711 chr12 + 76579042
SRR8798075.55105 chr12 + 76579042
SRR8798075.18203 chr12 + 76579042
SRR8798075.7047 chr12 + 76579021
SRR8798075.21734 chr12 + 76579039
SRR8798075.48206 chr12 + 76579038
SRR8798075.13412 chr12 + 76579042
SRR8798075.19547 chr12 + 76579038
SRR8798075.37798 chr12 + 76579035
SRR8798075.22925 chr12 + 76579037
SRR8798075.5399 chr12 + 76579042
SRR8798075.6261 chr12 + 76921410
SRR8798075.62122 chr12 + 78623865
SRR8798075.22811 chr12 + 78684772
SRR8798075.42815 chr12 + 78840590
SRR8798075.567 chr12 + 78840590
SRR8798075.46127 chr12 + 78885321
SRR8798075.4436 chr12 + 79156291
SRR8798075.6723 chr12 + 79156294
SRR8798075.7828 chr12 + 79156296
SRR8798075.8163 chr12 + 79156299
SRR8798075.9456 chr12 + 79156294
SRR8798075.12012 chr12 + 79156294
SRR8798075.12277 chr12 + 79156291
SRR8798075.23653 chr12 + 79156291
SRR8798075.29928 chr12 + 79156304
SRR8798075.34270 chr12 + 79156291
SRR8798075.37258 chr12 + 79156294
SRR8798075.39856 chr12 + 79156291
SRR8798075.40024 chr12 + 79156294
SRR8798075.40417 chr12 + 79156299
SRR8798075.42863 chr12 + 79156294
SRR8798075.46466 chr12 + 79156299
SRR8798075.52085 chr12 + 79156281
SRR8798075.61234 chr12 + 79156291
SRR8798075.8085 chr12 + 79156288
SRR8798075.63143 chr12 + 79156291
SRR8798075.21536 chr12 + 79222664
SRR8798075.34163 chr12 + 79222664
SRR8798075.15004 chr12 + 79222664
SRR8798075.12076 chr12 + 79734613
SRR8798075.22075 chr12 + 79814378
SRR8798075.54233 chr12 + 79814360
SRR8798075.36022 chr12 + 79814375
SRR8798075.2715 chr12 + 79814375
SRR8798075.12336 chr12 + 80449657
SRR8798075.34606 chr12 + 80880831
SRR8798075.46766 chr12 + 81377932
SRR8798075.3487 chr12 + 81827432
SRR8798075.23240 chr12 + 81827939
SRR8798075.44847 chr12 + 81827936
SRR8798075.46311 chr12 + 81827466
SRR8798075.32456 chr12 + 81827936
SRR8798075.62793 chr12 + 81827939
SRR8798075.57662 chr12 + 81827939
SRR8798075.13206 chr12 + 81996364
SRR8798075.6552 chr12 + 81996763
SRR8798075.62911 chr12 + 81997123
SRR8798075.6398 chr12 + 82000921
SRR8798075.22470 chr12 + 82425455
SRR8798075.56809 chr12 + 82425455
SRR8798075.48695 chr12 + 82450260
SRR8798075.36243 chr12 + 82450267
SRR8798075.45482 chr12 + 82450260
SRR8798075.35110 chr12 + 83343471
SRR8798075.18623 chr12 + 83489431
SRR8798075.5699 chr12 + 83681923
SRR8798075.22923 chr12 + 83681913
SRR8798075.57706 chr12 + 83683076
SRR8798075.22017 chr12 + 83683123
SRR8798075.60051 chr12 + 83683073
SRR8798075.14436 chr12 + 83683124
SRR8798075.1212 chr12 + 83735098
SRR8798075.13394 chr12 + 83735095
SRR8798075.17057 chr12 + 83735095
SRR8798075.23480 chr12 + 83735095
SRR8798075.27129 chr12 + 83735095
SRR8798075.33590 chr12 + 83735095
SRR8798075.50074 chr12 + 83735090
SRR8798075.20054 chr12 + 83735095
SRR8798075.34213 chr12 + 83735090
SRR8798075.2222 chr12 + 83735095
SRR8798075.20546 chr12 + 84053942
SRR8798075.24021 chr12 + 84059565
SRR8798075.16949 chr12 + 84076020
SRR8798075.11891 chr12 + 84343720
SRR8798075.29234 chr12 + 84418578
SRR8798075.46881 chr12 + 84531571
SRR8798075.55877 chr12 + 84531387
SRR8798075.15371 chr12 + 84651048
SRR8798075.34090 chr12 + 84651455
SRR8798075.16752 chr12 + 84651455
SRR8798075.32369 chr12 + 84651451
SRR8798075.52883 chr12 + 84651048
SRR8798075.31439 chr12 + 84651048
SRR8798075.1558 chr12 + 84651451
SRR8798075.41799 chr12 + 84651451
SRR8798075.51733 chr12 + 84651444
SRR8798075.56223 chr12 + 84651453
SRR8798075.1111 chr12 + 84651451
SRR8798075.8959 chr12 + 84651048
SRR8798075.28123 chr12 + 84651447
SRR8798075.32464 chr12 + 84651048
SRR8798075.9514 chr12 + 84651048
SRR8798075.58295 chr12 + 84651453
SRR8798075.3144 chr12 + 84651451
SRR8798075.24028 chr12 + 84651444
SRR8798075.6777 chr12 + 85134091
SRR8798075.25714 chr12 + 85134081
SRR8798075.6306 chr12 + 85226498
SRR8798075.10528 chr12 + 85226493
SRR8798075.20439 chr12 + 85226493
SRR8798075.28098 chr12 + 85226493
SRR8798075.43480 chr12 + 85226493
SRR8798075.49753 chr12 + 85226493
SRR8798075.29140 chr12 + 86162459
SRR8798075.30498 chr12 + 86162458
SRR8798075.61755 chr12 + 86162459
SRR8798075.56686 chr12 + 86162459
SRR8798075.19135 chr12 + 86162459
SRR8798075.37012 chr12 + 86291782
SRR8798075.44275 chr12 + 86291370
SRR8798075.2915 chr12 + 86521622
SRR8798075.5353 chr12 + 86521623
SRR8798075.30742 chr12 + 86521622
SRR8798075.62953 chr12 + 86521619
SRR8798075.9759 chr12 + 87164720
SRR8798075.58770 chr12 + 87164714
SRR8798075.1544 chr12 + 87273980
SRR8798075.1918 chr12 + 87273980
SRR8798075.2975 chr12 + 87273998
SRR8798075.21657 chr12 + 87273980
SRR8798075.38517 chr12 + 87273996
SRR8798075.41854 chr12 + 87273998
SRR8798075.49369 chr12 + 87273998
SRR8798075.18692 chr12 + 87273974
SRR8798075.53124 chr12 + 87273948
SRR8798075.4330 chr12 + 87273980
SRR8798075.29608 chr12 + 87273998
SRR8798075.48588 chr12 + 87428834
SRR8798075.49138 chr12 + 87608846
SRR8798075.49244 chr12 + 87608846
SRR8798075.52879 chr12 + 87608844
SRR8798075.61960 chr12 + 87608844
SRR8798075.26046 chr12 + 87608844
SRR8798075.3656 chr12 + 87607509
SRR8798075.4801 chr12 + 87608844
SRR8798075.5620 chr12 + 87608844
SRR8798075.6461 chr12 + 87608844
SRR8798075.15204 chr12 + 87608844
SRR8798075.15340 chr12 + 87608898
SRR8798075.24993 chr12 + 87607502
SRR8798075.26053 chr12 + 87608845
SRR8798075.31769 chr12 + 87608830
SRR8798075.35502 chr12 + 87608848
SRR8798075.39622 chr12 + 87608843
SRR8798075.54748 chr12 + 87608844
SRR8798075.63697 chr12 + 87608844
SRR8798075.27860 chr12 + 87608844
SRR8798075.9231 chr12 + 87608845
SRR8798075.56820 chr12 + 87608844
SRR8798075.45140 chr12 + 87608832
SRR8798075.14052 chr12 + 87607505
SRR8798075.18196 chr12 + 87608845
SRR8798075.7278 chr12 + 87608844
SRR8798075.43801 chr12 + 87608843
SRR8798075.9286 chr12 + 87608844
SRR8798075.11185 chr12 + 87608845
SRR8798075.8792 chr12 + 87608844
SRR8798075.15624 chr12 + 87608844
SRR8798075.16556 chr12 + 87608844
SRR8798075.19169 chr12 + 87608845
SRR8798075.20069 chr12 + 87608844
SRR8798075.23302 chr12 + 87608844
SRR8798075.28195 chr12 + 87608845
SRR8798075.29759 chr12 + 87608844
SRR8798075.34341 chr12 + 87608844
SRR8798075.36727 chr12 + 87608844
SRR8798075.37862 chr12 + 87608839
SRR8798075.38347 chr12 + 87608844
SRR8798075.41556 chr12 + 87608845
SRR8798075.42487 chr12 + 87608845
SRR8798075.42913 chr12 + 87608844
SRR8798075.55636 chr12 + 87608843
SRR8798075.57017 chr12 + 87608844
SRR8798075.2063 chr12 + 87608844
SRR8798075.3129 chr12 + 87608844
SRR8798075.9936 chr12 + 87608843
SRR8798075.20386 chr12 + 87608844
SRR8798075.25820 chr12 + 87608844
SRR8798075.4452 chr12 + 87608843
SRR8798075.19969 chr12 + 87608843
SRR8798075.44645 chr12 + 87608844
SRR8798075.41157 chr12 + 87608844
SRR8798075.52329 chr12 + 87608832
SRR8798075.17409 chr12 + 87608844
SRR8798075.32013 chr12 + 87608843
SRR8798075.31627 chr12 + 87608845
SRR8798075.54271 chr12 + 87608844
SRR8798075.58653 chr12 + 87608843
SRR8798075.40302 chr12 + 87608843
SRR8798075.49182 chr12 + 87608844
SRR8798075.4612 chr12 + 87608844
SRR8798075.24476 chr12 + 87608844
SRR8798075.22569 chr12 + 87608844
SRR8798075.15876 chr12 + 87608844
SRR8798075.51924 chr12 + 87608843
SRR8798075.47092 chr12 + 87608848
SRR8798075.15533 chr12 + 87608845
SRR8798075.59597 chr12 + 87608844
SRR8798075.17075 chr12 + 87960667
SRR8798075.21920 chr12 + 87960675
SRR8798075.47246 chr12 + 87960675
SRR8798075.49735 chr12 + 87960676
SRR8798075.61964 chr12 + 87960675
SRR8798075.18603 chr12 + 87960675
SRR8798075.5182 chr12 + 87960676
SRR8798075.5754 chr12 + 87960675
SRR8798075.10027 chr12 + 87960675
SRR8798075.11725 chr12 + 87960675
SRR8798075.13904 chr12 + 87960674
SRR8798075.15736 chr12 + 87960676
SRR8798075.16257 chr12 + 87960675
SRR8798075.18352 chr12 + 87959323
SRR8798075.26567 chr12 + 87960675
SRR8798075.27567 chr12 + 87960675
SRR8798075.31126 chr12 + 87959202
SRR8798075.32419 chr12 + 87960675
SRR8798075.35263 chr12 + 87960675
SRR8798075.37096 chr12 + 87960674
SRR8798075.38386 chr12 + 87960674
SRR8798075.40724 chr12 + 87960678
SRR8798075.40768 chr12 + 87960675
SRR8798075.43086 chr12 + 87959336
SRR8798075.48445 chr12 + 87960675
SRR8798075.50017 chr12 + 87960675
SRR8798075.50535 chr12 + 87960674
SRR8798075.54237 chr12 + 87960670
SRR8798075.56966 chr12 + 87959339
SRR8798075.57745 chr12 + 87960675
SRR8798075.58607 chr12 + 87960675
SRR8798075.11215 chr12 + 87960675
SRR8798075.7339 chr12 + 87959202
SRR8798075.39964 chr12 + 87960667
SRR8798075.24511 chr12 + 87960675
SRR8798075.58285 chr12 + 87960675
SRR8798075.19465 chr12 + 87960675
SRR8798075.922 chr12 + 87960676
SRR8798075.13138 chr12 + 87959202
SRR8798075.18938 chr12 + 87960640
SRR8798075.12375 chr12 + 87960675
SRR8798075.60429 chr12 + 87960675
SRR8798075.4334 chr12 + 87960675
SRR8798075.55219 chr12 + 87960681
SRR8798075.30991 chr12 + 87960842
SRR8798075.788 chr12 + 87960675
SRR8798075.3857 chr12 + 87960674
SRR8798075.6325 chr12 + 87960675
SRR8798075.9684 chr12 + 87960675
SRR8798075.9821 chr12 + 87960675
SRR8798075.10256 chr12 + 87960675
SRR8798075.11624 chr12 + 87960677
SRR8798075.12296 chr12 + 87960674
SRR8798075.13170 chr12 + 87960675
SRR8798075.15500 chr12 + 87960674
SRR8798075.17256 chr12 + 87960676
SRR8798075.17393 chr12 + 87960675
SRR8798075.23168 chr12 + 87960667
SRR8798075.25992 chr12 + 87960671
SRR8798075.27111 chr12 + 87960676
SRR8798075.29343 chr12 + 87960674
SRR8798075.30641 chr12 + 87960675
SRR8798075.30998 chr12 + 87960675
SRR8798075.31349 chr12 + 87960668
SRR8798075.39775 chr12 + 87960675
SRR8798075.40427 chr12 + 87960675
SRR8798075.41702 chr12 + 87960675
SRR8798075.48472 chr12 + 87960675
SRR8798075.48512 chr12 + 87960629
SRR8798075.49804 chr12 + 87960675
SRR8798075.50429 chr12 + 87960675
SRR8798075.51527 chr12 + 87960676
SRR8798075.52163 chr12 + 87960675
SRR8798075.52486 chr12 + 87960676
SRR8798075.52935 chr12 + 87960675
SRR8798075.54906 chr12 + 87960680
SRR8798075.57326 chr12 + 87960675
SRR8798075.57353 chr12 + 87960678
SRR8798075.57869 chr12 + 87960675
SRR8798075.59212 chr12 + 87960675
SRR8798075.59351 chr12 + 87960675
SRR8798075.60101 chr12 + 87960675
SRR8798075.63469 chr12 + 87960675
SRR8798075.3648 chr12 + 87960675
SRR8798075.14132 chr12 + 87960675
SRR8798075.29188 chr12 + 87960682
SRR8798075.32186 chr12 + 87960675
SRR8798075.51801 chr12 + 87960675
SRR8798075.53762 chr12 + 87960675
SRR8798075.60086 chr12 + 87960676
SRR8798075.32667 chr12 + 87960675
SRR8798075.33585 chr12 + 87960675
SRR8798075.19767 chr12 + 87960683
SRR8798075.14295 chr12 + 87960665
SRR8798075.56876 chr12 + 87960675
SRR8798075.55110 chr12 + 87960625
SRR8798075.35211 chr12 + 87960675
SRR8798075.9396 chr12 + 87960677
SRR8798075.366 chr12 + 87960675
SRR8798075.27293 chr12 + 87960162
SRR8798075.5012 chr12 + 87960675
SRR8798075.13658 chr12 + 87960675
SRR8798075.33234 chr12 + 87960675
SRR8798075.24120 chr12 + 87960676
SRR8798075.61378 chr12 + 87960674
SRR8798075.63120 chr12 + 87960675
SRR8798075.6136 chr12 + 87960675
SRR8798075.2734 chr12 + 87960675
SRR8798075.48800 chr12 + 87960675
SRR8798075.34437 chr12 + 87960675
SRR8798075.22947 chr12 + 87960675
SRR8798075.29534 chr12 + 87960677
SRR8798075.12001 chr12 + 87960675
SRR8798075.19757 chr12 + 87960676
SRR8798075.33197 chr12 + 88118063
SRR8798075.57082 chr12 + 88335698
SRR8798075.60092 chr12 + 88335698
SRR8798075.55152 chr12 + 88335698
SRR8798075.1759 chr12 + 88461713
SRR8798075.44280 chr12 + 88461726
SRR8798075.34189 chr12 + 88461726
SRR8798075.5855 chr12 + 88493641
SRR8798075.9883 chr12 + 88494645
SRR8798075.59704 chr12 + 89357436
SRR8798075.24258 chr12 + 91160273
SRR8798075.52996 chr12 + 91160273
SRR8798075.35651 chr12 + 96111951
SRR8798075.3715 chr12 + 96111949
SRR8798075.35758 chr12 + 98199721
SRR8798075.37928 chr12 + 98218311
SRR8798075.36077 chr12 + 98219720
SRR8798075.4229 chr12 + 98669815
SRR8798075.18438 chr12 + 98669815
SRR8798075.30260 chr12 + 98669815
SRR8798075.51551 chr12 + 98669712
SRR8798075.53498 chr12 + 98669712
SRR8798075.52128 chr12 + 98669815
SRR8798075.40061 chr12 + 98787753
SRR8798075.1004 chr12 + 99047633
SRR8798075.48339 chr12 + 99891745
SRR8798075.41573 chr12 + 99891745
SRR8798075.59539 chr12 + 99955221
SRR8798075.11974 chr12 + 100062682
SRR8798075.10047 chr12 + 100062682
SRR8798075.53725 chr12 + 100123362
SRR8798075.61768 chr12 + 100123365
SRR8798075.4256 chr12 + 100207315
SRR8798075.11460 chr12 + 100207315
SRR8798075.13419 chr12 + 100207315
SRR8798075.13556 chr12 + 100207315
SRR8798075.14734 chr12 + 100207315
SRR8798075.16857 chr12 + 100207315
SRR8798075.19075 chr12 + 100207310
SRR8798075.20124 chr12 + 100207315
SRR8798075.22345 chr12 + 100207315
SRR8798075.24574 chr12 + 100207315
SRR8798075.24736 chr12 + 100207315
SRR8798075.26392 chr12 + 100207315
SRR8798075.26777 chr12 + 100207315
SRR8798075.27042 chr12 + 100207315
SRR8798075.28759 chr12 + 100207315
SRR8798075.29326 chr12 + 100207315
SRR8798075.29885 chr12 + 100207308
SRR8798075.30460 chr12 + 100207310
SRR8798075.31090 chr12 + 100207315
SRR8798075.34771 chr12 + 100207315
SRR8798075.36930 chr12 + 100207315
SRR8798075.40325 chr12 + 100207315
SRR8798075.40559 chr12 + 100207315
SRR8798075.41445 chr12 + 100207315
SRR8798075.41601 chr12 + 100206826
SRR8798075.41896 chr12 + 100207315
SRR8798075.45487 chr12 + 100207315
SRR8798075.46270 chr12 + 100207315
SRR8798075.51084 chr12 + 100207315
SRR8798075.53915 chr12 + 100207315
SRR8798075.59537 chr12 + 100207315
SRR8798075.59578 chr12 + 100207315
SRR8798075.62205 chr12 + 100207315
SRR8798075.40255 chr12 + 100207313
SRR8798075.1973 chr12 + 100207315
SRR8798075.56469 chr12 + 100207315
SRR8798075.20954 chr12 + 100207310
SRR8798075.36545 chr12 + 100207315
SRR8798075.38965 chr12 + 100207315
SRR8798075.52992 chr12 + 100207315
SRR8798075.59708 chr12 + 100207315
SRR8798075.23969 chr12 + 100209817
SRR8798075.4053 chr12 + 102003986
SRR8798075.12536 chr12 + 102003780
SRR8798075.39078 chr12 + 102004292
SRR8798075.58725 chr12 + 102472566
SRR8798075.59507 chr12 + 102472566
SRR8798075.16513 chr12 + 102498008
SRR8798075.25569 chr12 + 102498015
SRR8798075.28926 chr12 + 102498030
SRR8798075.54982 chr12 + 102498031
SRR8798075.36084 chr12 + 102498015
SRR8798075.54675 chr12 + 102498005
SRR8798075.56423 chr12 + 102563074
SRR8798075.44606 chr12 + 102563074
SRR8798075.13849 chr12 + 102565026
SRR8798075.39193 chr12 + 102707115
SRR8798075.23314 chr12 + 102745240
SRR8798075.34005 chr12 + 102745263
SRR8798075.6759 chr12 + 102745243
SRR8798075.18574 chr12 + 102745243
SRR8798075.56454 chr12 + 102745397
SRR8798075.29922 chr12 + 102745403
SRR8798075.625 chr12 + 102745243
SRR8798075.24982 chr12 + 102777707
SRR8798075.8237 chr12 + 102900524
SRR8798075.4266 chr12 + 103404726
SRR8798075.49192 chr12 + 103406351
SRR8798075.21095 chr12 + 103406341
SRR8798075.20677 chr12 + 103406345
SRR8798075.16904 chr12 + 103406345
SRR8798075.549 chr12 + 105040847
SRR8798075.18949 chr12 + 105040852
SRR8798075.43564 chr12 + 105040856
SRR8798075.44763 chr12 + 105040856
SRR8798075.55014 chr12 + 105040854
SRR8798075.61303 chr12 + 105040856
SRR8798075.25589 chr12 + 105040856
SRR8798075.23607 chr12 + 105040856
SRR8798075.3025 chr12 + 105040856
SRR8798075.58551 chr12 + 105040847
SRR8798075.4905 chr12 + 105040849
SRR8798075.7675 chr12 + 105040856
SRR8798075.42186 chr12 + 105040854
SRR8798075.6147 chr12 + 105040856
SRR8798075.16207 chr12 + 105137478
SRR8798075.31827 chr12 + 105155225
SRR8798075.47321 chr12 + 105155225
SRR8798075.48239 chr12 + 105155225
SRR8798075.59993 chr12 + 105155225
SRR8798075.60951 chr12 + 105155225
SRR8798075.8231 chr12 + 105155219
SRR8798075.9570 chr12 + 105155225
SRR8798075.14084 chr12 + 105155225
SRR8798075.22498 chr12 + 105155225
SRR8798075.24939 chr12 + 105155219
SRR8798075.36867 chr12 + 105155225
SRR8798075.45453 chr12 + 105155225
SRR8798075.46399 chr12 + 105155225
SRR8798075.46903 chr12 + 105155225
SRR8798075.58348 chr12 + 105155225
SRR8798075.59001 chr12 + 105155225
SRR8798075.51374 chr12 + 105155218
SRR8798075.50912 chr12 + 105155219
SRR8798075.24350 chr12 + 105155225
SRR8798075.51035 chr12 + 105155225
SRR8798075.20682 chr12 + 105155225
SRR8798075.39208 chr12 + 105155209
SRR8798075.395 chr12 + 105166625
SRR8798075.4364 chr12 + 105166625
SRR8798075.18661 chr12 + 105166625
SRR8798075.23280 chr12 + 105166625
SRR8798075.36789 chr12 + 105166625
SRR8798075.41682 chr12 + 105166625
SRR8798075.43381 chr12 + 105166625
SRR8798075.44169 chr12 + 105166618
SRR8798075.48267 chr12 + 105166625
SRR8798075.59268 chr12 + 105166625
SRR8798075.1845 chr12 + 105166618
SRR8798075.2957 chr12 + 105166625
SRR8798075.6240 chr12 + 105166625
SRR8798075.7173 chr12 + 105166625
SRR8798075.9648 chr12 + 105166625
SRR8798075.12503 chr12 + 105166625
SRR8798075.13178 chr12 + 105166625
SRR8798075.13429 chr12 + 105166625
SRR8798075.13527 chr12 + 105166625
SRR8798075.17074 chr12 + 105166625
SRR8798075.19343 chr12 + 105166625
SRR8798075.20634 chr12 + 105166621
SRR8798075.23663 chr12 + 105166625
SRR8798075.24438 chr12 + 105166625
SRR8798075.25590 chr12 + 105166625
SRR8798075.25857 chr12 + 105166619
SRR8798075.27659 chr12 + 105166625
SRR8798075.30607 chr12 + 105166625
SRR8798075.30621 chr12 + 105166625
SRR8798075.31592 chr12 + 105166625
SRR8798075.33093 chr12 + 105166625
SRR8798075.33504 chr12 + 105166625
SRR8798075.41841 chr12 + 105166625
SRR8798075.42695 chr12 + 105166625
SRR8798075.49999 chr12 + 105166625
SRR8798075.55272 chr12 + 105166625
SRR8798075.55539 chr12 + 105166619
SRR8798075.57927 chr12 + 105166625
SRR8798075.59698 chr12 + 105166625
SRR8798075.63017 chr12 + 105166625
SRR8798075.40498 chr12 + 105166625
SRR8798075.35816 chr12 + 105166625
SRR8798075.15559 chr12 + 105166625
SRR8798075.58533 chr12 + 105166625
SRR8798075.58401 chr12 + 105166623
SRR8798075.34277 chr12 + 105166625
SRR8798075.61394 chr12 + 105166625
SRR8798075.53543 chr12 + 105166625
SRR8798075.12571 chr12 + 105166625
SRR8798075.53444 chr12 + 105171248
SRR8798075.59354 chr12 + 105168503
SRR8798075.21975 chr12 + 105171254
SRR8798075.26712 chr12 + 105181145
SRR8798075.7626 chr12 + 105181145
SRR8798075.7789 chr12 + 105181143
SRR8798075.16855 chr12 + 105181138
SRR8798075.31715 chr12 + 105181145
SRR8798075.41475 chr12 + 105181145
SRR8798075.2641 chr12 + 105195612
SRR8798075.4230 chr12 + 105195605
SRR8798075.24577 chr12 + 105195612
SRR8798075.32336 chr12 + 105195612
SRR8798075.33625 chr12 + 105195612
SRR8798075.34283 chr12 + 105195612
SRR8798075.44134 chr12 + 105195612
SRR8798075.48724 chr12 + 105195612
SRR8798075.60681 chr12 + 105195612
SRR8798075.8304 chr12 + 105195612
SRR8798075.55661 chr12 + 105195612
SRR8798075.43929 chr12 + 105195612
SRR8798075.63126 chr12 + 105195612
SRR8798075.20032 chr12 + 105195612
SRR8798075.13143 chr12 + 105206995
SRR8798075.13571 chr12 + 105206993
SRR8798075.29021 chr12 + 105206993
SRR8798075.34659 chr12 + 105206990
SRR8798075.45382 chr12 + 105206993
SRR8798075.48857 chr12 + 105206993
SRR8798075.59060 chr12 + 105206993
SRR8798075.62394 chr12 + 105206986
SRR8798075.31860 chr12 + 105206993
SRR8798075.44698 chr12 + 105206993
SRR8798075.61269 chr12 + 105206988
SRR8798075.4306 chr12 + 105811412
SRR8798075.56199 chr12 + 105811412
SRR8798075.8484 chr12 + 105836862
SRR8798075.7133 chr12 + 105838944
SRR8798075.2690 chr12 + 105838934
SRR8798075.50014 chr12 + 105838944
SRR8798075.44261 chr12 + 105838944
SRR8798075.35544 chr12 + 105838935
SRR8798075.53959 chr12 + 105838934
SRR8798075.8957 chr12 + 105838944
SRR8798075.17975 chr12 + 105901970
SRR8798075.49372 chr12 + 106509861
SRR8798075.15496 chr12 + 108196974
SRR8798075.53191 chr12 + 109028448
SRR8798075.57779 chr12 + 109028449
SRR8798075.44762 chr12 + 109539403
SRR8798075.3254 chr12 + 109816728
SRR8798075.58185 chr12 + 110450999
SRR8798075.48048 chr12 + 110512511
SRR8798075.13263 chr12 + 110571690
SRR8798075.54078 chr12 + 110571686
SRR8798075.58263 chr12 + 110571674
SRR8798075.33067 chr12 + 110583062
SRR8798075.688 chr12 + 110794724
SRR8798075.12880 chr12 + 110795028
SRR8798075.13762 chr12 + 110795028
SRR8798075.14702 chr12 + 110795020
SRR8798075.16197 chr12 + 110795020
SRR8798075.45315 chr12 + 110795020
SRR8798075.39484 chr12 + 110795025
SRR8798075.11216 chr12 + 110795025
SRR8798075.13690 chr12 + 110795021
SRR8798075.22365 chr12 + 110795026
